date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:35:12	73600/73600	---M-Z	200	added ('OK')	text/html	date:Tue,%2013%20Feb%202024%2023:57:32%20GMT	https://html.themeholy.com/bame/demo/index.html	C:/Users/PC/Desktop/x-game/html.themeholy.com/bame/demo/index.html	(from )
18:35:13	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2014%20Mar%202024%2013:05:17%20GMT	https://html.themeholy.com/robots.txt		(from )
18:35:14	1800/1800	---M--	200	added ('OK')	image/png	date:Tue,%2013%20Feb%202024%2023:57:36%20GMT	https://html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-57x57.png	C:/Users/PC/Desktop/x-game/html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-57x57.png	(from https://html.themeholy.com/bame/demo/index.html)
18:35:14	1868/1868	---M--	200	added ('OK')	image/png	date:Tue,%2013%20Feb%202024%2023:57:36%20GMT	https://html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-60x60.png	C:/Users/PC/Desktop/x-game/html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-60x60.png	(from https://html.themeholy.com/bame/demo/index.html)
18:35:14	1836/1836	---M--	200	added ('OK')	image/png	date:Tue,%2013%20Feb%202024%2023:57:36%20GMT	https://html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-72x72.png	C:/Users/PC/Desktop/x-game/html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-72x72.png	(from https://html.themeholy.com/bame/demo/index.html)
18:35:15	1895/1895	---M--	200	added ('OK')	image/png	date:Tue,%2013%20Feb%202024%2023:57:36%20GMT	https://html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-76x76.png	C:/Users/PC/Desktop/x-game/html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-76x76.png	(from https://html.themeholy.com/bame/demo/index.html)
18:35:15	2774/2774	---M--	200	added ('OK')	image/png	date:Tue,%2013%20Feb%202024%2023:57:36%20GMT	https://html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-114x114.png	C:/Users/PC/Desktop/x-game/html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-114x114.png	(from https://html.themeholy.com/bame/demo/index.html)
18:35:15	2936/2936	---M--	200	added ('OK')	image/png	date:Tue,%2013%20Feb%202024%2023:57:36%20GMT	https://html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-120x120.png	C:/Users/PC/Desktop/x-game/html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-120x120.png	(from https://html.themeholy.com/bame/demo/index.html)
18:35:15	3585/3585	---M--	200	added ('OK')	image/png	date:Tue,%2013%20Feb%202024%2023:57:36%20GMT	https://html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-144x144.png	C:/Users/PC/Desktop/x-game/html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-144x144.png	(from https://html.themeholy.com/bame/demo/index.html)
18:35:16	3840/3840	---M--	200	added ('OK')	image/png	date:Tue,%2013%20Feb%202024%2023:57:36%20GMT	https://html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-152x152.png	C:/Users/PC/Desktop/x-game/html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-152x152.png	(from https://html.themeholy.com/bame/demo/index.html)
18:35:16	4665/4665	---M--	200	added ('OK')	image/png	date:Tue,%2013%20Feb%202024%2023:57:36%20GMT	https://html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-180x180.png	C:/Users/PC/Desktop/x-game/html.themeholy.com/bame/demo/assets/img/favicons/apple-icon-180x180.png	(from https://html.themeholy.com/bame/demo/index.html)
18:35:16	4054/4054	---M--	200	added ('OK')	image/png	date:Tue,%2013%20Feb%202024%2023:57:36%20GMT	https://html.themeholy.com/bame/demo/assets/img/favicons/android-icon-192x192.png	C:/Users/PC/Desktop/x-game/html.themeholy.com/bame/demo/assets/img/favicons/android-icon-192x192.png	(from https://html.themeholy.com/bame/demo/index.html)
18:35:17	1085/1085	---M--	200	added ('OK')	image/png	date:Tue,%2013%20Feb%202024%2023:57:36%20GMT	https://html.themeholy.com/bame/demo/assets/img/favicons/favicon-32x32.png	C:/Users/PC/Desktop/x-game/html.themeholy.com/bame/demo/assets/img/favicons/favicon-32x32.png	(from https://html.themeholy.com/bame/demo/index.html)
18:35:17	2348/2348	---M--	200	added ('OK')	image/png	date:Tue,%2013%20Feb%202024%2023:57:36%20GMT	https://html.themeholy.com/bame/demo/assets/img/favicons/favicon-96x96.png	C:/Users/PC/Desktop/x-game/html.themeholy.com/bame/demo/assets/img/favicons/favicon-96x96.png	(from https://html.themeholy.com/bame/demo/index.html)
